"name","registrationNumber","workplaceName","workplaceDepartment","workplaceAddress"
"MUDr. Zdeněk Bělobrádek","1119483152","Fakultní nemocnice Hradec Králové","Chirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Karel Beneš","1130850161","KB klinika s.r.o","Ambulance cévní chirurgie","Bratří Štefanů 895/1, 50003 Hradec Králové 3"
"MUDr. Libor Etflaiš","1130749161","Oblastní nemocnice Jičín a.s.","Chirurgické oddělení","Bolzanova 512, 50601 Jičín 1"
"MUDr. Jiří Feix","1128437159","Fakultní nemocnice Hradec Králové","Chirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Mahmud Gneidy","1128696159","Oblastní nemocnice Náchod a.s.","Chirurgické oddělení","Purkyňova 446, 54769 Náchod"
"MUDr. Igor Guňka, Ph.D.","1148421178","Fakultní nemocnice Hradec Králové","Chirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Pavel Janata","1145595175","Nemocnice Vrchlabí s.r.o.","chirurgické","Fügnerova 50, 54301 Vrchlabí 1"
"MUDr. Svatopluk Kašpar, Ph.D.","1119622152","Flebocentrum s.r.o.","Ambulance cévní chirurgie","Líznerova 737/5, 50009 Hradec Králové 9"
"MUDr. Svatopluk Kašpar, Ph.D.","1119622152","Flebocentrum s.r.o.","Ambulance cévní chirurgie","U Soudu 388/1, 50003 Hradec Králové 3"
"MUDr. Pavel Kořínek","1141315171","Oblastní nemocnice Trutnov a.s.","Ústavní pohotovostní služba - chirugické odd.","Maxima Gorkého 77, Kryblice, 54101 Trutnov 1"
"MUDr. Pavel Kořínek","1141315171","Oblastní nemocnice Trutnov a.s.","chirurgické","Maxima Gorkého 77,Kryblice, 54121 Trutnov"
"MUDr. Martin Koštůr","1133142164","Lázně 1897, s.r.o.","Lázně Velichovky","Lázně 100, 55211 Velichovky"
"MUDr. Michal Leško","1150513180","Fakultní nemocnice Hradec Králové","Chirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Tomáš Lutonský","1131610162","Fakultní nemocnice Hradec Králové","Klinika urgentní medicíny","Sokolská 581, 50005 Hradec Králové"
"MUDr. Petr Martinek","1126994158","Zdravotnická záchranná služba Královéhradeckého kraje","Výjezdové středisko Dvůr králové n.Labem","Rooseweltova 474, 54401 Dvůr Králové nad Labem 1"
"MUDr. David Wadie Shihata","1141076171","MUDr. David Wadie Shihata","Ordinace estetické chirurgie","Jiráskova 1389, 51601 Rychnov nad Kněžnou"
"MUDr. David Wadie Shihata","1141076171","Oblastní nemocnice Náchod a.s., Nemocnice Rychnov nad Kněžnou","Jiráskova 506, 51623 Rychnov n/Kn.",
"prof. MUDr. Jan Vojáček, Ph.D.","1136474167","Fakultní nemocnice Hradec Králové","Kardiochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
