"name","registrationNumber","workplaceName","workplaceDepartment","workplaceAddress"
"MUDr. Helena Hojdíková","5131159161","MUDr. Helena Hojdíková s.r.o.","Neurologická ambulance pro děti a dospělé","Bratří Štefanů 895/1, 50003 Hradec Králové 3"
"MUDr. Helena Hojdíková","5131159161","MUDr. Helena Hojdíková s.r.o.","Ambulance neurologie a dětská neurologie","Nerudova 1180/28, 50002 Hradec Králové 2"
"MUDr. Helena Hojdíková","5131159161","Fakultní nemocnice Hradec Králové","Neurologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Milena Kuncová","5128065158","NEUROLOGIE K + K s.r.o.","Neurologická ambulance","Gagarinova 639, 50003 Hradec Králové 3"
"MUDr. Milena Kuncová","5128065158","NEUROLOGIE K + K s.r.o.","Neurologická ambulance","třída Edvarda Beneše 1549/34, 50012 Hradec Králové 12"
"MUDr. Helena Lukášová","5120988153","MUDr. Lukášová Helena","neurologická ambulance","Patrného 191, 55101 Jaroměř 1"
"MUDr. Ladislava Šerclová","5115632148","NEUROLOGIE - RS CENTRUM s.r.o.","Neurologická ambulance","Plácelova 1257/103, 50003 Hradec Králové 3"
"MUDr. Ladislava Šerclová","5115632148","Fakultní nemocnice Hradec Králové","Neurologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Michaela Šimáková","5137705168","Oblastní nemocnice Jičín a.s.","Neurologické odd.","Bolzanova 512, 50601 Jičín 1"
"MUDr. Michaela Šimáková","5137705168","Neurologická ambulance MUDr. Michaela Šimáková s r.o.","specializovaná ambulantní péče - dětská neurologie a neurologie","Školní 144 Valdice, 50711 Valdice"
"MUDr. Šárka Štefáčková","5142847172","Hamzova odborná léčebna pro děti a dospělé","rehabilitace","Košumberk 80, 53854 Luže"
"MUDr. Šárka Štefáčková","5142847172","Fakultní nemocnice Hradec Králové","Neurologická klinika","Sokolská 581, 50005 Hradec Králové"
