"name","registrationNumber","workplaceName","workplaceDepartment","workplaceAddress"
"MUDr. Zuzana Adamová","5126952157","MEDIVA s.r.o.","Jeremiášova 2722/2b, 15500 Praha 515",
"MUDr. Daniel Alexander","1143480173","GENNET, s.r.o.","Na Poříčí 26, 11000 Praha 1",
"MUDr. Tomáš Applt","1111002143","Vaše gynekologie s.r.o.","Gynekologická ambulance","Stamicova 1968/21, 16200 Praha 616"
"MUDr. Samer Asad","1131473162","Gyn Por Ivf MUDr. Samer Asad s.r.o.","Gynekologická ordinace","Branická 479/21, 14700 Praha 47"
"MUDr. Ondřej Bačík","1163388188","Fakultní Thomayerova nemocnice","Gynekologicko-porodnické oddělení","Vídeňská 800, 14059 Praha 4"
"MUDr. Markéta Bahníková","5144813174","IVF CUBE SE","gynekologie - porodnictví","Evropská 423/178, 16000 Praha 6"
"MUDr. Markéta Bahníková","5144813174","Ústav pro péči o matku a dítě","Gynekologicko porodnické odd.","Podolské nábřeží 157, 14700 Praha 47"
"MUDr. Martin Bak","1136425167","JMT HEALTH, s.r.o.","Gynekologické oddělení","Táborská 57, 14000 Praha 4"
"MUDr. Vladimír Baláž","1159101182","Nemocnice Na Homolce","gynekologie","Roentgenova 2, 15030 Praha 5"
"MUDr. Vladimíra Balogová, MBA","5174888180","IVF CUBE SE","gynekologie - porodnictví","Evropská 423/178, 16000 Praha 6"
"MUDr. Michaela Bartošová","5146104175","GENNET, s.r.o.","IVF","Kostelní 9/292, 17000 Praha 7"
"MUDr. Michaela Bartošová","5146104175","GYNEM, s.r.o.","Ledčická 1142/1, 18400 Praha 84",
"MUDr. Michaela Bartošová","5146104175","Nemocnice Slaný","gynekologicko-porodnické oddělení","Politických vězňů 576, 27401 Slaný 1"
"MUDr. Jiří Bastl","1115977149","Gynosan s.r.o.","gynekologická ordinace","Chodovická 484/10, 19300 Praha 913"
"MUDr. Milan Bednář","1117991151","MUDr. Milan BEDNÁŘ","Gynekolog-Porodník","Roškotova 1717 / 2 , 14000 Praha 4"
"MUDr. Tomáš Bednář","1123151155","Gynekologicko-porodnická ambulance","Mikovcova 4, 12000 Praha 2",
"MUDr. Alena Beková","5112771145","Cytologická laboratoř a Gynekologická ambulance (CGOP, s. r. o.)","Vocelova 603/5, 12000 Praha 2",
"MUDr. Marie Bendová, CSc.","5126883157","Fakultní nemocnice Královské Vinohrady","Gynekologicko-porodnická klinika","Šrobárova 50, 10000 Praha 10"
"MUDr. Radko Beneš","1121838154","Gynservis, s.r.o.","Gynekologická ambulance","Jabloňová 8, 10600 Praha 106"
"MUDr. Ivana Benešová","5126524157","MUDr. Ivana Benešová","Gynekologicko-porodnická ordinace","Kateřinská 1476/34, 12000 Praha 2"
"MUDr. Miluše Berka-Mrštinová","5127505158","Fakultní nemocnice v Motole","gynekologicko-porodnická klinika","V Úvalu 84, 15006 Praha 5"
