"name","registrationNumber","workplaceName","workplaceDepartment","workplaceAddress"
"doc. MUDr. Tomáš Česák, Ph.D.","1134503165","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"doc. MUDr. Tomáš Česák, Ph.D.","1134503165","Univerzita Karlova v Praze Lékařská fakulta v Hradci Králové","Šimkova 870, 50003 Hradec Králové 3",
"MUDr. Vladimír Hobza, Ph.D.","1134324165","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Tomáš Hosszú, Ph.D.","1146540176","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Josef Jakubec, CSc.","1117312150","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Kurt Kaltofen","1123393155","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Martin Kanta, Ph.D.","1132550163","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Martin Kanta, Ph.D.","1132550163","Univerzita Karlova v Praze Lékařská fakulta v Hradci Králové","Šimkova 870, 50003 Hradec Králové 3",
"MUDr. Roman Kostyšyn","1150396180","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Václav Málek, Ph.D.","1121914154","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Václav Málek, Ph.D.","1121914154","Univerzita Karlova v Praze Lékařská fakulta v Hradci Králové","Šimkova 870, 50003 Hradec Králové 3",
"MUDr. Pavel Póczoš, Ph.D.","1153305183","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"prof. MUDr. Svatopluk Řehák, CSc.","1121967154","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"prof. MUDr. Svatopluk Řehák, CSc.","1121967154","Univerzita Karlova v Praze Lékařská fakulta v Hradci Králové","Šimkova 870, 50003 Hradec Králové 3",
"MUDr. Pavel Trávníček","1155364183","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Karel Zadrobílek","1143601173","Fakultní nemocnice Hradec Králové","Neurochirurgická klinika","Sokolská 581, 50005 Hradec Králové"
