"name","registrationNumber","workplaceName","workplaceDepartment","workplaceAddress"
"MUDr. Michal Al-Hajjar","1145563175","Affidea Praha s.r.o.","Neurologie","Šustova 1930, 14800 Praha 414"
"MUDr. Michal Bajaček, Ph.D.","1146424176","Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha","Neurologie","U Vojenské nemocnice 1200, 16902 Praha 6"
"MUDr. Andrea Bajačeková","5141897171","Neurologická ambulance","Poliklinika Petrovice","Ohmova 271, 10900 Praha 111"
"MUDr. Pavla Barilly","5158040187","Fakultní nemocnice Královské Vinohrady","Neurologická klinika","Šrobárova 50, 10000 Praha 10"
"MUDr. Marta Bartáková","5118746151","Neurologická ambulance","Plaňanská 1, 10800 Praha 108",
"MUDr. Luisa Bärtlová","5133840164","KlinNeuro s.r.o.","Ostrovského 253/3, 15000 Praha 5",
"prof. MUDr. Aleš Bartoš, Ph.D.","1138424169","3. Lékařská fakulta Univerzity Karlovy","Neurologická klinika","Ruská 87, 10000 Praha 10"
"doc. MUDr. Jiří Bauer, CSc.","1108570139","Všeobecná fakultní nemocnice v Praze","Neurologická klinika VFN a 1. LF UK","Kateřinská 30, 12000 Praha 2"
"MUDr. Hana Bayerová","5124415155","MEDIAM s.r.o.","neurologie","Tusarova 1152/36, 17000 Praha 7"
"MUDr. Petr Benedikt","1132637163","MEDICO spol.s r.o.","Neurologické oddělení","Mírového hnutí 123, 14900 Praha 415"
"MUDr. Yvonne Benešová, Ph.D.","5133877164","Fakultní nemocnice Brno","Neurologická klinika","Jihlavská 20, 62500 Brno 25"
"MUDr. Yvonne Benešová, Ph.D.","5133877164","NEURO - EEG s.r.o.","neurologie","Žufanova 1114, 16300 Praha 618"
"MUDr. Daniela Bláhová","5130862161","Dům seniorů Michle s.r.o.","Čapkova 400/13, 14000 Praha 4",
"MUDr. Daniela Bláhová","5130862161","CITY MED, s.r.o.","Vocelova 598/7, 12000 Praha 2",
"MUDr. Jiří Böhm","1120495153","Všeobecná fakultní nemocnice v Praze","Neurologická klinika VFN a 1. LF UK","Kateřinská 30, 12000 Praha 2"
"MUDr. Tomáš Bouzek","1135118166","MUDr. Tomáš Bouzek","Neurologická ambulance, všeobecné praktické lékařství","Starodejvická 1897/8, 16000 Praha 6"
"MUDr. Tomáš Bouzek","1135118166","KÜBECK s.r.o.","hyperbarická a letecká medicína","Vančurova 1548, 27201 Kladno 1"
"MUDr. Karel Brabec","1154618183","Fakultní nemocnice Královské Vinohrady","Neurologická klinika","Šrobárova 50, 10000 Praha 10"
"MUDr. Edina Bravo","5128919159","Canadian Medical s.r.o.","neurologie","Evropská 859/115, 16000 Praha 6"
"MUDr. Edina Bravo","5128919159","MUDr. Edina Bravo","Masarykova 526, 25263 Roztoky u Prahy",
"MUDr. Edina Bravo","5128919159","MUDr. Edina Bravo","Neurologie","Nerudova 686/18, 27801 Kralupy nad Vltavou 1"
"MUDr. Klára Brožová","5137755168","Fakultní Thomayerova nemocnice","Oddělení dětské neurologie","Vídeňská 800, 14059 Praha 4"
"MUDr. Martin Brunovský, Ph.D.","1145586175","Psyon s.r.o.","Čistovická 249/11, 16300 Praha 618",
"MUDr. Martin Brunovský, Ph.D.","1145586175","Národní ústav duševního zdraví","Topolová 748, 25067 Klecany",
"MUDr. Michal Brzák","1134427165","INSTITUT KLINICKÉ A EXPERIMENTÁLNÍ MEDICINY","Pracoviště odborné ambulantní péče - POAP","Vídeňská 1958/9, 14021 Praha 4"
"MUDr. Richard Brzezny, Ph.D.","1146511176","Fakultní nemocnice Královské Vinohrady","Neurologická klinika","Šrobárova 50, 10000 Praha 10"
"MUDr. Richard Brzezny, Ph.D.","1146511176","Oblastní nemocnice Kladno a.s., nemocnice Středočeského kraje","neurologické oddělení","Vančurova 1548, 27201 Kladno 1"
"MUDr. Lucie Brzobohatá","5140410170","Nemocnice AGEL Říčany a.s.","Neurologická ambulance","Smiřických 315, 25101 Říčany u Prahy"
"MUDr. Lucie Brzobohatá","5140410170","Poliklinika Bioregena, s.r.o.","neurologie","Vajgarská 1141, 19821 Praha 9"
"MUDr. Petr Burda","1119505152","OK REHABILITACE s.r.o.","rehabilitační a fyzikální medicína, fyzioterapeut","Antala Staška 1670/80, 14046 Praha 4"
"MUDr. Petr Bušek, Ph.D.","1140050170","Všeobecná fakultní nemocnice v Praze","Neurologická klinika VFN a 1. LF UK","Kateřinská 30, 12000 Praha 2"
"MUDr. Jitka Bušková","5145154174","Všeobecná fakultní nemocnice v Praze","Neurologická klinika VFN a 1. LF UK","Kateřinská 30, 12000 Praha 2"
"MUDr. Jitka Bušková","5145154174","Národní ústav duševního zdraví","Topolová 748, 25067 Klecany",
"MUDr. Milena Ciupová","5112101144","NeuriaMed, s.r.o.","Neurologie, ambulantní péče","Vítězné náměstí 829/10, 16000 Praha 6"
"MUDr. Radko Čanda","1124838156","Soukromá praxe","Krškova 807, 15200 Praha 52",
"MUDr. Pavel Čech","1139523170","MEDINPLANT, s.r.o.","Klinická psychologie, neurologie","Kartouzská 204/6, 15000 Praha 5"
"MUDr. Pavel Čech","1139523170","Neurologie Třebíč s. r. o.","Neurologická ambulance","Komenského nám. 1045/18, 67401 Třebíč 1"
"MUDr. Pavel Čech","1139523170","MUDr. Pavel Čech","Neurologická ambulance","Tovačovského sady 78, 67602 Moravské Budějovice 2"
"MUDr. Pavel Čech","1139523170","Neurologie Třebíč s. r. o.","Neurologická ambulance","Vltavínská 1289/10, 67401 Třebíč 1"
"MUDr. Rudolf Černý, CSc.","1125025156","Fakultní nemocnice v Motole","neurologická klinika","V Úvalu 84, 15006 Praha 5"
"MUDr. Dana Čtrnáctá","5144223173","Ústřední vojenská nemocnice - Vojenská fakultní nemocnice Praha","Neurologie","U Vojenské nemocnice 1200, 16902 Praha 6"
"MUDr. Eva Davidová","5140706170","Fakultní Thomayerova nemocnice","Neurologická klinika 3. LF UK a FTN","Vídeňská 800, 14059 Praha 4"
"MUDr. Jana Davidová","5132669163","MEDINPLANT, s.r.o.","Klinická psychologie, neurologie","Kartouzská 204/6, 15000 Praha 5"
"MUDr. Tereza Diligent","5140244170","Lékařský dům Praha 7, a.s.","Janovského 48, 17000 Praha 7",
