"name","registrationNumber","workplaceName","workplaceDepartment","workplaceAddress"
"MUDr. Silvia Bajová","5153237182","Nemocnice na Homolce","Dětské ambulantní odd.","Roentgenova 37/2, 15000 Praha 5"
"MUDr. Dagmar Barnetová","5134766165","Fakultní nemocnice Bulovka","Pediatrické oddělení","Budínova 2, 18000 Praha 8"
"MUDr. Dagmar Barnetová","5134766165","Oblastní nemocnice Kolín, a.s., nemocnice Středočeského kraje","Dětské oddělení","Žižkova 146, 28002 Kolín 2"
"MUDr. Michaela Bendová","5152704181","MUDr. Michaela Bendová","praktické lékařství pro děti a dorost","Jugoslávských partyzánů 1089/15, 16000 Praha 6"
"MUDr. Petra Benedová","5147806177","Dětské Řepy s.r.o.","praktické lékařství pro děti a dorost","Socháňova 1221/25, 16300 Praha 618"
"MUDr. Pavel Boček","1129759160","MUDr. Pavel Boček","Semanského 78/2, 10400 Praha 114",
"MUDr. Pavel Boček","1129759160","Fakultní nemocnice v Motole","oddělení urgentního příjmu a LSPP dětí","V Úvalu 84, 15006 Praha 5"
"MUDr. Barbora Brhlíková","5159046186","Concierge Medicine Europe s.r.o.","alergologie a klinická imunologie,dermatovenerologie, gynekologie a porodnictví, oftalmologie, ORL a chirurgie hlavy a krku, praktické lékařství pro děti a dorost, všeobecné praktické lékařství, fyzioterapie","Pujmanové 1753/10a, 14000 Praha 4"
"MUDr. Eva Bronská","5147653177","SANOPED s.r.o.","ordinace PLDD","Všerubská 141/1, 15500 Praha 515"
"MUDr. Vladimíra Břízová","5142790172","MUDr. Vladimíra Břízová","praktický lékař pro děti a dorost","Frýdecká 439, 19900 Praha 99"
"MUDr. Eva Burdová","5120216152","Praktické lékařství pro děti a dorost","Jabloňová 2992, 10600 Praha 106",
"MUDr. Lilija Burianová","5148683178","Fakultní nemocnice Bulovka","Pediatrické oddělení","Budínova 2, 18000 Praha 8"
"MUDr. Lilija Burianová","5148683178","Canadian Medical s.r.o.","Praktický lékař","Evropská 859/115, 16000 Praha 6"
"MUDr. Lilija Burianová","5148683178","Pediatr Letná s.r.o.","Praktický lékař pro děti a dorost","Františka Křižíka 683/22, 17000 Praha 7"
"MUDr. Lilija Burianová","5148683178","Respimed s.r.o.","Radlická 19/1, 15000 Praha 5",
"MUDr. Martina Burianová","5143069172","Fakultní nemocnice Plzeň - Lochotín","Dětská klinika","alej Svobody 80, 30460 Plzeň"
"MUDr. Martina Burianová","5143069172","MUDr. Martina Burianová, ambulance alergologie a imunologie s.r.o.","alergologie a imunologie - ambulantní péče","Kpt. Jaroše 110/I., 33901 Klatovy 1"
"MUDr. Martina Burianová","5143069172","MUDr. Martina Burianová, ambulance alergologie a imunologie s.r.o.","Alergologie a klinická imunologie","Sokolovská 979/209, 19000 Praha 9"
"MUDr. Jana Cejpová","5134098164","Praktické lékařství pro děti a dorost","Dolnoměcholupská 168/37, 10000 Praha 10",
"MUDr. Milada Czinnerová","5124030155","Praktické lékařství pro děti a dorost","K poště 416, 10300 Praha 113",
"MUDr. Milada Czinnerová","5124030155","Praktické lékařství pro děti a dorost","Tesaříkova 1027/2, 10200 Praha 102",
"MUDr. Miloš Černý","1125828157","Fakultní nemocnice Královské Vinohrady","Gynekologicko-porodnická klinika","Šrobárova 50, 10000 Praha 10"
"MUDr. Vladimíra Čihařová Víšková","5140605170","PSSZ","Zdravotnické zařízení Žižkov","Olšanská 7, 13000 Praha 3"
"MUDr. Jan David, Ph.D.","1162248190","MUDr. Jan David, Ph.D.","praktické lékařství pro děti a dorost","Podolská 1485/10a, 14700 Praha 47"
"MUDr. Karolína Doležalová, Ph.D.","5149977179","Fakultní Thomayerova nemocnice","Dětská klinika","Vídeňská 800, 14059 Praha 4"
"MUDr. Jana Dosedělová","5144199173","Pediatrie Dejvice s.r.o.","praktické lékařství pro děti a dorost","Jugoslávských partyzánů 1089/15, 16000 Praha 6"
"MUDr. Zora Dostálová","5143994173","Ordinace D, s.r.o.","praktické lékařství pro děti a dorost","Dejvická 919/38, 16000 Praha 6"
"MUDr. Veronika Fantová","5130132160","MUDr. Fantová Veronika","praktický lékař pro děti a dorost","Jílovská 1825/14a, 14200 Praha 411"
"MUDr. Klára Fiala","5158220186","Pediatrie Malá Strana s.r.o.","praktické lékařství pro děti a dorost","Malostranské nám. 38/24, 11000 Praha 1"
"MUDr. Klára Fiala","5158220186","Fakultní nemocnice v Motole","dětské kardiocentrum","V Úvalu 84, 15006 Praha 5"
"MUDr. Edita Formánková","5138079168","MUDr. Edita Formánková","Ordinace praktického lékaře pro děti a dorost","Žukovského 887/4, 16100 Praha 614"
"MUDr. Irena Frantová","5142210171","MUDr. Irena FRANTOVÁ","PL pro děti a dorost","Stamicova 1968/21, 16200 Praha 616"
"MUDr. Mária Freibertová","5150804180","Fakultní nemocnice Bulovka","Pediatrické oddělení","Budínova 2, 18000 Praha 8"
"MUDr. Mária Freibertová","5150804180","PEDIMED s.r.o.","praktické lékařství pro děti a dorost","Lhotská 2072/3, 19300 Praha 913"
"MUDr. Lenka Gemrotová","5154570183","Soukromá praxe","Xaveriova 52, 15000 Praha 5",
"MUDr. Martina Haaseová","5146271175","Pediatrie Prosek s.r.o.","PL pro děti a dorost","Lovosická 440/40, 19000 Praha 9"
"MUDr. Marta Hálová","5129882160","Praktické lékařství pro děti a dorost","Nové nám. 1431/20, 10400 Praha 114",
"MUDr. Lucie Havlová","5145211174","Soukromá praxe","Kartouzská 6, 15000 Praha 5",
"MUDr. Magdalena Herknerová, Ph.D.","5143833173","Anacarde s.r.o.","alergologie a klinická imunologie","Pražská 1616, 25210 Mníšek pod Brdy"
"MUDr. Magdalena Herknerová, Ph.D.","5143833173","Nemocnice Na Homolce","alergologie a klinická imunologie","Roentgenova 2, 15000 Praha 5"
"MUDr. Lucie Honková","5138857169","MUDr. Lucie Honková","praktický lékař pro děti a dorost","Gagarinova 1103/35, 16500 Praha 620"
"MUDr. Svetlana Hricová","5137770168","Ministerstvo Zdravotnictví ČR","Náměstí Palackého 4, 12801 Praha 2",
"MUDr. Kateřina Hynová","5133682164","Oborová zdravotní pojišťovna zaměstnanců bank, pojišťoven a stavebnictví","Roškotova 1225/1, 14000 Praha 4",
"MUDr. Aneta Chalupská","5159658188","MUDr. Natália Szitányi - praktické lékařství pro děti a dorost","dětská gastroenterologie a hepatologie","V Zářezu 902/4, 15800 Praha 58"
"MUDr. Marie Chudáčková","5150886180","MUDr. Marie Chudáčková","ambulantně - praktické lékařství pro děti a dorost","Chelčického 39, 13000 Praha 3"
" Taťána Chylčenko","5161541172","Mediclinic a.s.","Odd. praktický lékař pro děti a dorost","Sídliště 1100, 15300 Praha 512"
"MUDr. Vít Jakoubek, Ph.D.","1149614179","Všeobecná fakultní nemocnice v Praze","Klinika pediatrie a dědičných poruch metabolismu VFN a 1. LF UK","Ke Karlovu 2, 12100 Praha 2"
"MUDr. Vít Jakoubek, Ph.D.","1149614179","Pediatrie Jakoubkovi s.r.o.","U Meteoru 676/8, 18000 Praha 8",
"MUDr. Věra Janáčková","5138092168","MUDr. Věra JANÁČKOVÁ","PLDD","Čumpelíkova 1764/2, 18200 Praha 82"
"MUDr. Hana Jiskrová","5130101160","Všeobecná fakultní nemocnice v Praze","Ústav nukleární medicíny VFN a 1. LF UK","Salmovská 3, 12000 Praha 2"
"MUDr. Pavel Kamenický","1159724187","Fakultní Thomayerova nemocnice","Klinika dětské chirurgie a traumatologie","Vídeňská 800, 14059 Praha 4"
"MUDr. Tereza Kleštincová","5164523192","Program H plus, s.r.o.","Radlická 19/1, 15000 Praha 5",
