"name","registrationNumber","workplaceName","workplaceDepartment","workplaceAddress"
"MUDr. Khaled Baker","1137633168","PRVNÍ PRIVÁTNÍ CHIRURGICKÉ CENTRUM, spol s r.o.","Urologie","Labská kotlina I/1220, 50002 Hradec Králové 2"
"prof. MUDr. Miloš Broďák, Ph.D.","1137198168","Urologie Police nad Metují s.r.o.","17. listopadu 388, 54954 Police nad Metují",
"prof. MUDr. Miloš Broďák, Ph.D.","1137198168","Urologie HK s.r.o.","Urologická ambulance","Jeronýmova 750/1, 50002 Hradec Králové 2"
"prof. MUDr. Miloš Broďák, Ph.D.","1137198168","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Jarmila Droznová Adamíková","5141993171","Urologie Hořice s.r.o.","Klicperova 6, 50801 Hořice v Podkrkonoší",
"MUDr. Petr Flašar","1121891154","Oblastní nemocnice Náchod a.s.","Urologie","Purkyňova 446, 54769 Náchod"
"MUDr. Vladimír Giblo","1142549172","Urologie Giblo s.r.o.","Urologická ambulance","Jiráskova 1389, 51601 Rychnov nad Kněžnou"
"MUDr. Vladimír Giblo","1142549172","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Leoš Gronka","1146590176","Oblastní nemocnice Náchod a.s.","Urologie","Purkyňova 446, 54769 Náchod"
"MUDr. Abdulbaset Hafuda","1128193159","Uromedis s.r.o.","urologická ambulance","Karla Šípka 282, Trnová, 53009 Pardubice 9"
"MUDr. Abdulbaset Hafuda","1128193159","Nemocnice Pardubického kraje, a.s., Pardubická nemocnice","Urologické oddělení","Kyjevská 44, 53003 Pardubice 3"
"MUDr. Abdulbaset Hafuda","1128193159","UROLA s.r.o.","urologická ambulance","Masarykovo náměstí 46, 54701 Náchod 1"
"MUDr. Abdulbaset Hafuda","1128193159","UROLA s.r.o.","urologická ambulance","Náměstí T.G.Masaryka 80, 54401 Dvůr Králové nad Labem 1"
"MUDr. Abdulbaset Hafuda","1128193159","UROLA s.r.o.","urologická ambulance","Národní ul., 55101 Jaroměř 1"
"MUDr. Abdulbaset Hafuda","1128193159","UROLA s.r.o.","urologická ambulance","Smetanova 91, 55001 Broumov 1"
"MUDr. Lubomír Hejzlar","1128497159","MUDr.Hejzlar Lubomír","Urologická a andrologická ambulance","Bratří Štefanů 895/1, 50003 Hradec Králové 3"
"MUDr. Jan Hiblbauer","1119312152","URAN HRADEC s.r.o.","Urologická ambulance","Bratří Štefanů 895/1, 50003 Hradec Králové 3"
"MUDr. Jan Hiblbauer","1119312152","PRVNÍ PRIVÁTNÍ CHIRURGICKÉ CENTRUM, spol s r.o.","Urologie","Labská kotlina I/1220, 50002 Hradec Králové 2"
"MUDr. Jan Hiblbauer","1119312152","MUDr. Jan Hiblbauer s.r.o.","Specializované ambulantní péče","Železničářská 1300, Valdické předměstí, 50601 Jičín 1"
"MUDr. Věra Hladíková","5129301159","UROLOGIE Ulrichovo nám. s.r.o.","Urologická ambulance","Jeronýmova 750/1, 50002 Hradec Králové 2"
"MUDr. Soňa Hlavová","5126787157","MUDr. Soňa Hlavová","Urologie - specializovaná ambulantní péče","Mírové nám. 88, 51721 Týniště nad Orlicí"
"MUDr. Soňa Hlavová","5126787157","MUDr. Soňa Hlavová","Urologie - ambulantní péče","Náměstí Gen. Knopa 837, 56401 Žamberk"
"MUDr. Soňa Hlavová","5126787157","MUDr. Soňa Hlavová","Urologie - specializovaná ambulantní péče","Svinná 27, Skuhrov nad Bělou, 51703 Skuhrov nad Bělou"
"MUDr. Lukáš Holub","1148349178","Urologie Police nad Metují s.r.o.","17. listopadu 388, 54954 Police nad Metují",
"MUDr. Lukáš Holub","1148349178","Urologie HK s.r.o.","Urologická ambulance","Jeronýmova 750/1, 50002 Hradec Králové 2"
"MUDr. Lukáš Holub","1148349178","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Marie Hurtová","5143980173","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Petr Hušek, FEBU, Ph.D.","1151998182","Urologie HK s.r.o.","Urologická ambulance","Jeronýmova 750/1, 50002 Hradec Králové 2"
"MUDr. Petr Hušek, FEBU, Ph.D.","1151998182","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Václav Jung","1115109148","MUDr. Václav Jung","Urologie","Jiráskova 1389, 51601 Rychnov nad Kněžnou"
"MUDr. Václav Jung","1115109148","Oblastní nemocnice Náchod a.s., Nemocnice Rychnov nad Kněžnou","Jiráskova 506, 51623 Rychnov n/Kn.",
"MUDr. Josef Košina","1143437173","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Tomáš Kovář","1157491185","Nemocnice Pardubického kraje, a.s., Pardubická nemocnice","Urologické oddělení","Kyjevská 44, 53003 Pardubice 3"
"MUDr. Tomáš Kovář","1157491185","URToPa s.r.o.","Urologická ambulance","Železničářská 1300, 50601 Jičín 1"
"MUDr. Jana Krausová","5149642179","Městská nemocnice, a.s.","urologické","Vrchlického 1504, 54401 Dvůr Králové nad Labem 1"
"MUDr. Pavel Kříž","1157080186","PRVNÍ PRIVÁTNÍ CHIRURGICKÉ CENTRUM, spol s r.o.","Urologie","Labská kotlina I/1220, 50002 Hradec Králové 2"
"MUDr. Karel Kubíček","1141256171","UROLA s.r.o.","urologická ambulance","Masarykovo náměstí 46, 54701 Náchod 1"
"MUDr. Karel Kubíček","1141256171","UROLA s.r.o.","urologická ambulance","Náměstí T.G.Masaryka 80, 54401 Dvůr Králové nad Labem 1"
"MUDr. Karel Kubíček","1141256171","UROLA s.r.o.","urologická ambulance","Národní ul., 55101 Jaroměř 1"
"MUDr. Karel Kubíček","1141256171","Oblastní nemocnice Náchod a.s.","Urologie","Purkyňova 446, 54769 Náchod"
"MUDr. Karel Kubíček","1141256171","UROLA s.r.o.","urologická ambulance","Smetanova 91, 55001 Broumov 1"
"MUDr. Petr Kutílek, Ph.D.","1133550164","Okresní správa sociálního zabezpečení Hradec Králové","Oddělení lékařské posudkové služby","Slezská 839, 50003 Hradec Králové 3"
"MUDr. Miroslav Louda, Ph.D.","1137520168","MUDr. Miroslav Louda","Urologická ambulance","Jungmannova 114/I, 50351 Chlumec nad Cidlinou"
"MUDr. Miroslav Louda, Ph.D.","1137520168","MUDr. Miroslav Louda","Urologická ambulance","Lipová 380, 50321 Stěžery"
"MUDr. Miroslav Louda, Ph.D.","1137520168","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Miroslav Louda, Ph.D.","1137520168","MUDr. Miroslav Louda","Urologická ambulance","Jungmannova 114/I, 50351 Chlumec nad Cidlinou"
"MUDr. Miroslav Louda, Ph.D.","1137520168","MUDr. Miroslav Louda","Urologická ambulance","Lipová 380, 50321 Stěžery"
"MUDr. Miroslav Louda, Ph.D.","1137520168","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Rostislav Malich","1138606169","Urologická ambulance","urologická ambulance","Úpická 165, 54101 Trutnov 1"
"MUDr. Jiří Martin","1163860190","ANDROLA s.r.o.","urologická ambulance","Masarykovo náměstí 46, 54701 Náchod 1"
"MUDr. Jiří Martin","1163860190","Oblastní nemocnice Náchod a.s.","Urologie","Purkyňova 446, 54769 Náchod"
"MUDr. Libor Matouš","1123158155","Městská nemocnice, a.s.","urologické","Vrchlického 1504, 54401 Dvůr Králové nad Labem 1"
"doc. MUDr. Petr Morávek, CSc.","1110195142","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Petr Morávek","1146487176","Městská nemocnice, a.s.","urologické","Vrchlického 1504, 54401 Dvůr Králové nad Labem 1"
"MUDr. Pavel Navrátil, CSc.","1117998151","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Ivo Novák, Ph.D.","1128459159","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
"MUDr. Ivo Novák, Ph.D.","1128459159","Univerzita Karlova v Praze Lékařská fakulta v Hradci Králové","Šimkova 870, 50003 Hradec Králové 3",
"doc. MUDr. Jaroslav Pacovský, Ph.D.","1142396172","MUDr.Ivana Ošťádalová s.r.o.","Urologická ambulance","Jeronýmova 750/1, 50002 Hradec Králové 2"
"doc. MUDr. Jaroslav Pacovský, Ph.D.","1142396172","Fakultní nemocnice Hradec Králové","Urologická klinika","Sokolská 581, 50005 Hradec Králové"
